231,140201,市辖,140200
232,140202,城　,140200
233,140203,矿　,140200
234,140211,南郊,140200
235,140212,新荣,140200
236,140221,阳高,140200
237,140222,天镇,140200
238,140223,广灵,140200
239,140224,灵丘,140200
240,140225,浑源,140200
241,140226,左云,140200
242,140227,大同,140200
243,140301,市辖,140300
244,140302,城　,140300
245,140303,矿　,140300
246,140311,郊　,140300
247,140321,平定,140300
248,140322,盂　,140300
249,140401,市辖,140400
250,140402,城　,140400
251,140411,郊　,140400
252,140421,长治,140400
253,140423,襄垣,140400
254,140424,屯留,140400
255,140425,平顺,140400
256,140426,黎城,140400
257,140427,壶关,140400
258,140428,长子,140400
259,140429,武乡,140400
260,140430,沁　,140400
261,140431,沁源,140400
262,140481,潞城市,140400
263,140501,市辖,140500
264,140502,城　,140500
265,140521,沁水,140500
266,140522,阳城,140500
267,140524,陵川,140500
268,140525,泽州,140500
269,140581,高平市,140500
270,140601,市辖,140600
271,140602,朔城,140600
272,140603,平鲁,140600
273,140621,山阴,140600
274,140622,应　,140600
275,140623,右玉,140600
276,140624,怀仁,140600
277,140701,市辖,140700
278,140702,榆次,140700
279,140721,榆社,140700
280,140722,左权,140700
281,140723,和顺,140700
282,140724,昔阳,140700
283,140725,寿阳,140700
284,140726,太谷,140700
285,140727,祁　,140700
286,140728,平遥,140700
287,140729,灵石,140700
288,140781,介休市,140700
289,140801,市辖,140800
290,140802,盐湖,140800
291,140821,临猗,140800
292,140822,万荣,140800
293,140823,闻喜,140800
294,140824,稷山,140800
295,140825,新绛,140800
296,140826,绛　,140800
297,140827,垣曲,140800
298,140828,夏　,140800
299,140829,平陆,140800
300,140830,芮城,140800
301,140881,永济市,140800
302,140882,河津市,140800
303,140901,市辖,140900
304,140902,忻府,140900
305,140921,定襄,140900
306,140922,五台,140900
307,140923,代　,140900
308,140924,繁峙,140900
309,140925,宁武,140900
310,140926,静乐,140900
311,140927,神池,140900
312,140928,五寨,140900
313,140929,岢岚,140900
314,140930,河曲,140900
315,140931,保德,140900
316,140932,偏关,140900
317,140981,原平市,140900
318,141001,市辖,141000
319,141002,尧都,141000
320,141021,曲沃,141000
321,141022,翼城,141000
322,141023,襄汾,141000
323,141024,洪洞,141000
324,141025,古　,141000
325,141026,安泽,141000
326,141027,浮山,141000
327,141028,吉　,141000
328,141029,乡宁,141000
329,141030,大宁,141000
330,141031,隰　,141000
331,141032,永和,141000
332,141033,蒲　,141000
333,141034,汾西,141000
334,141081,侯马市,141000
335,141082,霍州市,141000
336,141101,市辖,141100
337,141102,离石,141100
338,141121,文水,141100
339,141122,交城,141100
340,141123,兴　,141100
341,141124,临　,141100
342,141125,柳林,141100
343,141126,石楼,141100
344,141127,岚　,141100
345,141128,方山,141100
346,141129,中阳,141100
347,141130,交口,141100
348,141181,孝义市,141100
349,141182,汾阳市,141100
350,150101,市辖,150100
351,150102,新城,150100
352,150103,回民,150100
353,150104,玉泉,150100
354,150105,赛罕,150100
355,150121,土默特左旗,150100
356,150122,托克托,150100
357,150123,和林格尔,150100
358,150124,清水河,150100
359,150125,武川,150100
360,150201,市辖,150200
361,150202,东河,150200
362,150203,昆都仑,150200
363,150204,青山,150200
364,150205,石拐,150200
365,150206,白云矿,150200
366,150207,九原,150200
367,150221,土默特右旗,150200
368,150222,固阳,150200
369,150223,达尔罕茂明安联合旗,150200
370,150301,市辖,150300
371,150302,海勃湾,150300
372,150303,海南,150300
373,150304,乌达,150300
374,150401,市辖,150400
375,150402,红山,150400
376,150403,元宝山,150400
377,150404,松山,150400
378,150421,阿鲁科尔沁旗,150400
379,150422,巴林左旗,150400
380,150423,巴林右旗,150400
381,150424,林西,150400
382,150425,克什克腾旗,150400
383,150426,翁牛特旗,150400
384,150428,喀喇沁旗,150400
385,150429,宁城,150400
386,150430,敖汉旗,150400
387,150501,市辖,150500
388,150502,科尔沁,150500
389,150521,科尔沁左翼中旗,150500
390,150522,科尔沁左翼后旗,150500
391,150523,开鲁,150500
392,150524,库伦旗,150500
393,150525,奈曼旗,150500
394,150526,扎鲁特旗,150500
395,150581,霍林郭勒市,150500
396,150602,东胜,150600
397,150621,达拉特旗,150600
398,150622,准格尔旗,150600
399,150623,鄂托克前旗,150600
400,150624,鄂托克旗,150600
401,150625,杭锦旗,150600
402,150626,乌审旗,150600
403,150627,伊金霍洛旗,150600
404,150701,市辖,150700
405,150702,海拉尔,150700
406,150721,阿荣旗,150700
407,150722,莫力达瓦达斡尔族自治旗,150700
